,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
浙江省_地区生产总值(亿元)_本期值,64689,62461.99,58002.84,52403.13,47254.04,43507.72,40023.48,37334.64,34382.39,31854.80,27399.85,22833.74,21284.58,18639.95,15302.68,13028.33,11482.11,9753.37,8040.66,6927.70,6164.79,5461.27,5065.50,4695.93,4195.76,3563.90,2689.28,1925.91,1375.70,1089.33,904.69,849.44,770.25,606.99,502.47,429.16,323.25,257.09,234.01,204.86,179.92,157.75,123.72,100.00,87.27,84.23,86.57,86.99,84.39,70.43,69.17,62.70,54.94,56.35,58.28,55.67,51.75,46.60,43.35,40.56,47.25,47.35,43.75,37.27,33.54,30.53,28.65,27.24,24.53
浙江省_地区生产总值(亿元)_第一产业_本期值,2166.26,2086.70,1975.89,1933.92,1890.43,1771.36,1726.57,1718.74,1610.81,1535.20,1322.85,1134.68,1073.30,969.27,913.16,881.47,803.83,717.85,685.20,659.78,630.97,606.32,609.30,618.90,594.93,549.95,438.65,315.97,262.67,245.22,225.04,210.95,195.68,159.41,136.29,123.88,104.40,82.89,84.88,69.06,64.61,67.56,47.09,39.18,39.57,39.20,42.10,39.22,39.78,31.98,32.28,30.27,28.57,27.55,28.01,25.97,24.92,23.37,20.24,16.95,15.94,17.80,18.27,19.29,18.91,18.78,17.76,16.55,16.28
浙江省_地区生产总值(亿元)_农林牧渔业_本期值,,2135.87,2019.32,1972.84,1925.48,1803.76,1755.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_第二产业_本期值,26361.5,26299.51,25308.13,23246.72,21571.25,20606.55,19580.72,18162.78,17040.53,16271.04,14140.90,11882.36,11512.68,10122.74,8295.66,6953.67,6160.40,5126.27,4112.87,3590.07,3287.10,2983.27,2772.28,2557.87,2233.98,1856.32,1395.61,982.19,652.26,494.11,408.18,386.25,354.39,281.47,230.89,198.91,141.48,113.12,98.44,94.68,84.07,64.07,53.52,41.52,30.72,28.63,28.34,31.89,29.22,23.49,22.42,18.84,13.78,15.69,17.01,16.93,14.68,12.26,11.76,12.27,18.12,16.89,14.37,7.93,5.60,3.88,4.13,3.86,2.78
浙江省_地区生产总值(亿元)_工业_本期值,,22520.94,21621.19,20038.67,18661.48,17803.30,16955.25,15835.77,14853.27,14277.77,12432.05,10491.27,10317.04,9093.98,7418.99,6177.64,5428.69,4501.61,3670.38,3205.39,2964.69,2693.52,2495.25,2293.10,1989.68,1650.60,1243.37,876.26,581.73,438.36,363.74,346.50,315.36,249.69,206.63,178.68,127.91,102.55,87.21,84.08,73.71,55.59,46.97,37.07,27.00,25.48,25.34,28.98,26.34,20.71,20.30,17.01,12.41,14.23,15.28,15.09,12.98,10.79,10.61,11.02,15.43,14.17,11.80,6.49,4.43,3.30,3.62,3.27,2.29
浙江省_地区生产总值(亿元)_第三产业_本期值,36161.3,34075.77,30718.83,27222.48,23792.36,21129.81,18716.19,17453.12,15731.05,14048.56,11936.10,9816.70,8698.60,7547.94,6093.87,5193.19,4517.87,3909.25,3242.59,2677.85,2246.72,1871.68,1683.92,1519.16,1366.85,1157.63,855.02,627.75,460.77,350.00,271.47,252.24,220.18,166.11,135.29,106.37,77.37,61.08,50.69,41.12,31.24,26.12,23.11,19.30,16.98,16.40,16.13,15.88,15.39,14.96,14.47,13.59,12.59,13.11,13.26,12.77,12.15,10.97,11.35,11.34,13.19,12.66,11.11,10.05,9.03,7.87,6.76,6.83,5.47
浙江省_地区生产总值(亿元)_交通运输、仓储和邮政业_本期值,,1980.11,1852.77,1742.57,1605.92,1499.48,1383.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_信息传输、计算机服务和软件业_本期值,,3613.82,2959.67,2599.47,2060.89,1630.54,1310.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_批发和零售业_本期值,,7360.24,6852.98,6323.62,5828.61,5290.55,4808.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_住宿和餐饮业_本期值,,1085.50,991.89,941.31,889.41,813.82,726.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
